,PLAYER,POS,OVR
0,Antonio Brown,WR,1.2
1,Odell Beckham Jr.,WR,2.6
2,Julio Jones,WR,2.8
3,David Johnson,RB,4.6
4,Todd Gurley,RB,5.5
5,DeAndre Hopkins,WR,6.2
6,A.J. Green,WR,6.7
7,Ezekiel Elliott,RB,8.6
8,Allen Robinson,WR,9.5
9,Adrian Peterson,RB,9.8
10,Lamar Miller,RB,10.5
11,Le'Veon Bell,RB,11.8
12,Brandon Marshall,WR,13.3
13,Keenan Allen,WR,14.1
14,Rob Gronkowski,TE,14.6
15,Dez Bryant,WR,15.6
16,Mike Evans,WR,15.9
17,Jamaal Charles,RB,18.5
18,Jordy Nelson,WR,18.5
19,Devonta Freeman,RB,19.6
20,Amari Cooper,WR,20.4
21,LeSean McCoy,RB,21.6
22,Alshon Jeffery,WR,22.8
23,Eddie Lacy,RB,23.7
24,Brandin Cooks,WR,24.2
25,Mark Ingram,RB,25.7
26,Jarvis Landry,WR,26.7
27,Sammy Watkins,WR,28.1
28,T.Y. Hilton,WR,29.0
29,Demaryius Thomas,WR,30.2
30,Doug Martin,RB,30.7
31,Randall Cobb,WR,31.1
32,C.J. Anderson,RB,33.1
33,Julian Edelman,WR,34.9
34,Cam Newton,QB,35.2
35,Jordan Reed,TE,36.4
36,Latavius Murray,RB,36.4
37,Jeremy Maclin,WR,36.8
38,Kelvin Benjamin,WR,38.2
39,Donte Moncrief,WR,38.9
40,Aaron Rodgers,QB,39.0
41,DeMarco Murray,RB,41.0
42,Thomas Rawls,RB,41.6
43,Matt Forte,RB,42.8
44,Golden Tate,WR,43.9
45,Eric Decker,WR,44.8
46,Carlos Hyde,RB,45.9
47,Jeremy Langford,RB,47.5
48,Doug Baldwin,WR,48.5
49,Greg Olsen,TE,49.3
50,Josh Gordon,WR,49.5
51,Jeremy Hill,RB,50.0
52,Michael Floyd,WR,52.6
53,Russell Wilson,QB,53.4
54,Danny Woodhead,RB,53.8
55,Melvin Gordon,RB,54.6
56,Marvin Jones,WR,55.1
57,Arian Foster,RB,56.9
58,Giovani Bernard,RB,58.2
59,Andrew Luck,QB,58.9
60,Larry Fitzgerald,WR,59.3
61,Drew Brees,QB,61.2
62,Ryan Mathews,RB,61.2
63,Jonathan Stewart,RB,63.6
64,Jordan Matthews,WR,63.8
65,Delanie Walker,TE,64.7
66,Travis Kelce,TE,65.8
67,Allen Hurns,WR,66.1
68,Duke Johnson,RB,66.5
69,DeAngelo Williams,RB,69.3
70,Tom Brady,QB,69.9
71,Emmanuel Sanders,WR,70.1
72,Ben Roethlisberger,QB,71.3
73,Tyler Lockett,WR,72.4
74,Frank Gore,RB,73.5
75,Coby Fleener,TE,73.6
76,Rashad Jennings,RB,75.4
77,John Brown,WR,78.4
78,Matt Jones,RB,78.6
79,Derrick Henry,RB,78.9
80,Michael Crabtree,WR,79.0
81,Gary Barnidge,TE,79.8
82,DeSean Jackson,WR,81.6
83,Ameer Abdullah,RB,82.3
84,Carson Palmer,QB,84.0
85,Sterling Shepard,WR,84.0
86,Chris Ivory,RB,84.1
87,Charles Sims,RB,87.3
88,Blake Bortles,QB,88.6
89,Stefon Diggs,WR,91.1
90,Justin Forsett,RB,91.2
91,LeGarrette Blount,RB,91.6
92,DeVante Parker,WR,91.7
93,James White,RB,92.4
94,Eli Manning,QB,93.0
95,Zach Ertz,TE,94.0
96,Willie Snead,WR,94.8
97,T.J. Yeldon,RB,94.9
98,Kevin White,WR,96.5
99,Philip Rivers,QB,97.5
100,Theo Riddick,RB,97.5
101,Devin Funchess,WR,98.4
102,Julius Thomas,TE,99.1
103,Christine Michael,RB,99.9
104,Antonio Gates,TE,101.7
105,Derek Carr,QB,103.9
106,Denver Defense,DEF,104.3
107,Kamar Aiken,WR,104.4
108,Travis Benjamin,WR,105.0
109,Tyler Eifert,TE,105.2
110,Bilal Powell,RB,106.0
111,Isaiah Crowell,RB,106.5
112,Kirk Cousins,QB,109.6
113,Jay Ajayi,RB,110.8
114,Tavon Austin,WR,110.8
115,Corey Coleman,WR,111.2
116,Arizona Defense,DEF,111.7
117,Seattle Defense,DEF,115.1
118,Michael Thomas,WR,115.1
119,Tyrod Taylor,QB,116.1
120,Darren Sproles,RB,117.2
121,Matthew Stafford,QB,118.3
122,Martellus Bennett,TE,118.4
123,Tajae Sharpe,WR,118.4
124,Tevin Coleman,RB,118.5
125,Vincent Jackson,WR,120.0
126,Markus Wheaton,WR,121.9
127,Jameis Winston,QB,123.0
128,Carolina Defense,DEF,123.5
129,Steve Smith,WR,124.3
130,DeAndre Washington,RB,125.6
131,Dion Lewis,RB,126.5
132,Torrey Smith,WR,127.1
133,Alfred Morris,RB,130.0
134,Houston Defense,DEF,130.5
135,Dwayne Allen,TE,130.9
136,Mohamed Sanu,WR,131.1
137,Kansas City Defense,DEF,132.4
138,Andy Dalton,QB,132.4
139,Will Fuller,WR,134.2
140,Rishard Matthews,WR,135.9
141,Spencer Ware,RB,136.9
142,Devontae Booker,RB,137.5
143,Jimmy Graham,TE,138.8
144,Marcus Mariota,QB,139.1
145,Jared Cook,TE,139.5
146,Tyler Boyd,WR,140.3
147,Chris Hogan,WR,141.4
148,Matt Ryan,QB,141.5
149,Dak Prescott,QB,143.6
150,Stephen Gostkowski,PK,144.0
151,NY Jets Defense,DEF,144.7
152,Minnesota Defense,DEF,145.6
153,Jerick McKinnon,RB,147.0
154,Kenny Stills,WR,148.6
155,Phillip Dorsett,WR,148.6
156,Ryan Fitzpatrick,QB,152.2
157,Steve Hauschka,PK,152.4
158,Jason Witten,TE,153.3
159,Eric Ebron,TE,153.5
160,Mike Wallace,WR,153.6
161,Terrance West,RB,154.2
162,James Starks,RB,154.6
163,Shane Vereen,RB,155.1
164,Ted Ginn Jr.,WR,155.4
165,Los Angeles Defense,DEF,155.4
166,Ryan Tannehill,QB,155.6
167,Zach Miller,TE,156.4
168,Chris Thompson,RB,156.5
169,Chris Johnson,RB,156.6
170,Sammie Coates,WR,156.7
171,Robert Griffin III,QB,157.5
172,New England Defense,DEF,157.7
173,Terrelle Pryor,WR,158.4
174,Dorial Green-Beckham,WR,158.8
175,Justin Tucker,PK,160.9
176,Brock Osweiler,QB,160.9
177,Cincinnati Defense,DEF,161.3
178,Graham Gano,PK,161.8
179,Oakland Defense,DEF,162.8
180,Chandler Catanzaro,PK,164.7
181,Philadelphia Defense,DEF,165.7
182,Dan Bailey,PK,165.8
183,Green Bay Defense,DEF,165.9
184,Mason Crosby,PK,167.1
185,Brandon McManus,PK,170.3
186,Chris Boswell,PK,171.6
187,Adam Vinatieri,PK,171.8
188,Blair Walsh,PK,173.4
189,Cairo Santos,PK,173.9
190,Sebastian Janikowski,PK,174.7
