,PLAYER,POS,OVR
0,Arian Foster,RB,1.8
1,Ray Rice,RB,2.2
2,Aaron Rodgers,QB,3.1
3,LeSean McCoy,RB,4.3
4,Calvin Johnson,WR,5.7
5,Darren McFadden,RB,6.7
6,Chris Johnson,RB,6.8
7,Tom Brady,QB,7.1
8,Drew Brees,QB,9.5
9,Matt Forte,RB,9.9
10,DeMarco Murray,RB,11.5
11,Jimmy Graham,TE,11.6
12,Jamaal Charles,RB,15.0
13,Julio Jones,WR,15.9
14,Marshawn Lynch,RB,16.4
15,Rob Gronkowski,TE,17.6
16,Adrian Peterson,RB,17.7
17,Fred Jackson,RB,18.2
18,Ryan Mathews,RB,19.0
19,Steven Jackson,RB,20.1
20,Larry Fitzgerald,WR,21.5
21,Darren Sproles,RB,21.9
22,Brandon Marshall,WR,22.3
23,Matthew Stafford,QB,22.5
24,Doug Martin,RB,25.0
25,Maurice Jones-Drew,RB,26.1
26,Cam Newton,QB,27.5
27,A.J. Green,WR,27.5
28,Trent Richardson,RB,27.5
29,Andre Johnson,WR,28.5
30,Roddy White,WR,29.8
31,Wes Welker,WR,30.8
32,Greg Jennings,WR,32.8
33,Ahmad Bradshaw,RB,34.1
34,Victor Cruz,WR,34.2
35,Michael Turner,RB,35.0
36,Jordy Nelson,WR,37.4
37,Antonio Gates,TE,38.0
38,Hakeem Nicks,WR,39.5
39,Frank Gore,RB,40.7
40,Willis McGahee,RB,41.8
41,Aaron Hernandez,TE,41.8
42,Reggie Bush,RB,42.5
43,Percy Harvin,WR,42.6
44,Dez Bryant,WR,44.3
45,BenJarvus Green-Ellis,RB,45.1
46,Antonio Brown,WR,46.4
47,Matt Ryan,QB,47.3
48,Marques Colston,WR,49.7
49,Cedric Benson,RB,51.2
50,Steve Smith,WR,52.4
51,Brandon Lloyd,WR,54.0
52,Eric Decker,WR,54.1
53,Stevan Ridley,RB,54.6
54,Mike Wallace,WR,54.8
55,Donald Brown,RB,56.1
56,Peyton Hillis,RB,56.2
57,Vernon Davis,TE,57.7
58,Michael Vick,QB,59.8
59,Jermichael Finley,TE,60.8
60,Shonn Greene,RB,62.9
61,Demaryius Thomas,WR,63.8
62,Eli Manning,QB,63.9
63,Jeremy Maclin,WR,64.3
64,DeSean Jackson,WR,64.5
65,David Wilson,RB,66.8
66,Kevin Smith,RB,67.0
67,Torrey Smith,WR,67.2
68,Rashad Jennings,RB,67.3
69,Dwayne Bowe,WR,68.1
70,Peyton Manning,QB,69.2
71,Steve Johnson,WR,71.5
72,Ben Tate,RB,73.0
73,Vincent Jackson,WR,73.1
74,Isaac Redman,RB,74.8
75,Tony Romo,QB,75.6
76,Beanie Wells,RB,76.0
77,Brandon Pettigrew,TE,76.5
78,Ryan Williams,RB,77.1
79,Miles Austin,WR,78.0
80,Reggie Wayne,WR,79.4
81,DeAngelo Williams,RB,79.8
82,Pierre Garcon,WR,81.3
83,Philip Rivers,QB,82.8
84,Mark Ingram,RB,82.9
85,Jason Witten,TE,83.6
86,C.J. Spiller,RB,85.4
87,Michael Bush,RB,85.7
88,Jonathan Stewart,RB,86.8
89,Justin Blackmon,WR,87.1
90,Titus Young,WR,88.8
91,Kenny Britt,WR,89.7
92,Jay Cutler,QB,91.0
93,Fred Davis,TE,92.1
94,Jacquizz Rodgers,RB,92.2
95,Toby Gerhart,RB,95.8
96,Robert Meachem,WR,96.3
97,Anquan Boldin,WR,97.2
98,San Francisco Defense,DEF,97.4
99,Roy Helu,RB,98.4
100,Rashard Mendenhall,RB,98.5
101,Jacob Tamme,TE,100.6
102,Mikel Leshoure,RB,101.2
103,Tony Gonzalez,TE,101.4
104,Robert Griffin III,QB,101.5
105,Malcom Floyd,WR,101.6
106,Ben Roethlisberger,QB,105.0
107,Darrius Heyward-Bey,WR,105.7
108,Kendall Hunter,RB,107.7
109,Matt Schaub,QB,108.2
110,Nate Washington,WR,109.1
111,Houston Defense,DEF,110.3
112,Greg Olsen,TE,110.4
113,LeGarrette Blount,RB,111.6
114,Daniel Thomas,RB,112.3
115,Andrew Luck,QB,112.9
116,Lance Moore,WR,114.0
117,Pierre Thomas,RB,114.6
118,Philadelphia Defense,DEF,115.8
119,Danny Amendola,WR,116.3
120,Russell Wilson,QB,117.4
121,Joe Flacco,QB,118.3
122,Jermaine Gresham,TE,119.8
123,Kendall Wright,WR,120.8
124,Ronnie Brown,RB,121.4
125,Evan Royster,RB,122.1
126,Robert Turbin,RB,122.5
127,Green Bay Defense,DEF,123.4
128,Denarius Moore,WR,124.1
129,Alfred Morris,RB,124.6
130,Greg Little,WR,124.9
131,Baltimore Defense,DEF,126.6
132,Jared Cook,TE,129.3
133,Brandon LaFell,WR,130.7
134,Sidney Rice,WR,132.1
135,Santonio Holmes,WR,132.3
136,David Akers,PK,133.0
137,Jake Locker,QB,133.4
138,Isaiah Pead,RB,134.5
139,Felix Jones,RB,135.9
140,Pittsburgh Defense,DEF,136.9
141,Josh Freeman,QB,137.9
142,Carson Palmer,QB,138.0
143,Sebastian Janikowski,PK,138.0
144,Seattle Defense,DEF,138.2
145,Randy Moss,WR,138.3
146,Stephen Gostkowski,PK,140.8
147,Kyle Rudolph,TE,141.6
148,Chicago Defense,DEF,141.7
149,Randall Cobb,WR,142.4
150,Michael Crabtree,WR,142.4
151,Andy Dalton,QB,142.9
152,Mike Goodson,RB,143.4
153,Mike Williams,WR,143.5
154,Alshon Jeffery,WR,143.6
155,Ronnie Hillman,RB,143.9
156,Ryan Fitzpatrick,QB,146.7
157,Shane Vereen,RB,148.0
158,Coby Fleener,TE,149.1
159,NY Giants Defense,DEF,150.3
160,Jerome Simpson,WR,150.3
161,Mike Tolbert,RB,150.8
162,Montario Hardesty,RB,150.8
163,Tim Hightower,RB,151.1
