,PLAYER,POS,OVR
0,Adrian Peterson,RB,1.2
1,Doug Martin,RB,3.5
2,Jamaal Charles,RB,3.5
3,Arian Foster,RB,4.4
4,C.J. Spiller,RB,6.1
5,Calvin Johnson,WR,6.4
6,Ray Rice,RB,7.3
7,LeSean McCoy,RB,7.5
8,Trent Richardson,RB,8.1
9,Marshawn Lynch,RB,8.2
10,Matt Forte,RB,12.4
11,Alfred Morris,RB,12.8
12,Dez Bryant,WR,13.8
13,Chris Johnson,RB,15.5
14,Jimmy Graham,TE,15.7
15,Steven Jackson,RB,16.5
16,Reggie Bush,RB,16.7
17,A.J. Green,WR,17.6
18,Maurice Jones-Drew,RB,18.9
19,Stevan Ridley,RB,19.3
20,Brandon Marshall,WR,19.4
21,Julio Jones,WR,22.0
22,Demaryius Thomas,WR,24.8
23,Darren Sproles,RB,25.8
24,Frank Gore,RB,26.1
25,DeMarco Murray,RB,27.3
26,Larry Fitzgerald,WR,27.7
27,Drew Brees,QB,29.8
28,Randall Cobb,WR,30.0
29,Lamar Miller,RB,30.5
30,David Wilson,RB,30.6
31,Aaron Rodgers,QB,32.4
32,Andre Johnson,WR,32.5
33,Roddy White,WR,33.7
34,Darren McFadden,RB,34.2
35,Eddie Lacy,RB,37.1
36,Victor Cruz,WR,37.7
37,Rob Gronkowski,TE,39.0
38,Vincent Jackson,WR,40.3
39,Dwayne Bowe,WR,43.4
40,Danny Amendola,WR,43.9
41,Peyton Manning,QB,44.2
42,Wes Welker,WR,45.6
43,Marques Colston,WR,45.9
44,Ryan Mathews,RB,46.7
45,Giovani Bernard,RB,47.1
46,Montee Ball,RB,47.5
47,Reggie Wayne,WR,47.9
48,Jason Witten,TE,48.3
49,Vernon Davis,TE,50.4
50,Ahmad Bradshaw,RB,53.0
51,Shane Vereen,RB,53.3
52,Daryl Richardson,RB,53.9
53,Pierre Garcon,WR,55.1
54,Chris Ivory,RB,55.8
55,Cam Newton,QB,57.3
56,Hakeem Nicks,WR,57.5
57,Tom Brady,QB,58.4
58,Jordy Nelson,WR,58.7
59,Tony Gonzalez,TE,60.5
60,Antonio Brown,WR,60.9
61,Torrey Smith,WR,62.7
62,Matt Ryan,QB,62.8
63,Rashard Mendenhall,RB,65.5
64,Eric Decker,WR,66.5
65,DeAngelo Williams,RB,67.0
66,DeSean Jackson,WR,69.6
67,Matthew Stafford,QB,70.2
68,Mike Wallace,WR,71.7
69,Colin Kaepernick,QB,73.2
70,Andre Brown,RB,73.3
71,Steve Smith,WR,73.3
72,James Jones,WR,76.9
73,Ben Tate,RB,78.2
74,BenJarvus Green-Ellis,RB,78.8
75,Mark Ingram,RB,78.8
76,Andrew Luck,QB,78.8
77,Robert Griffin III,QB,79.2
78,Tavon Austin,WR,79.4
79,T.Y. Hilton,WR,80.2
80,Jermichael Finley,TE,81.6
81,Kyle Rudolph,TE,81.8
82,Cecil Shorts,WR,82.3
83,Tony Romo,QB,83.2
84,Ronnie Hillman,RB,83.8
85,Anquan Boldin,WR,84.1
86,Antonio Gates,TE,84.2
87,Miles Austin,WR,89.0
88,Greg Jennings,WR,90.4
89,Bryce Brown,RB,90.5
90,Russell Wilson,QB,90.7
91,Fred Jackson,RB,92.0
92,Danny Woodhead,RB,93.4
93,Bernard Pierce,RB,94.1
94,Steve Johnson,WR,95.4
95,Jared Cook,TE,95.8
96,Josh Gordon,WR,96.8
97,Seattle Defense,DEF,97.4
98,Mike Williams,WR,97.4
99,Vick Ballard,RB,98.7
100,Greg Olsen,TE,100.0
101,Kenny Britt,WR,101.8
102,Pierre Thomas,RB,102.8
103,Golden Tate,WR,104.9
104,Michael Vick,QB,105.1
105,Eli Manning,QB,105.2
106,San Francisco Defense,DEF,105.3
107,Lance Moore,WR,108.7
108,Johnathan Franklin,RB,108.8
109,Mikel Leshoure,RB,112.0
110,DeAndre Hopkins,WR,112.8
111,Houston Defense,DEF,112.9
112,Jacquizz Rodgers,RB,113.4
113,Brandon Myers,TE,114.0
114,Chicago Defense,DEF,114.5
115,Andy Dalton,QB,116.6
116,Jonathan Stewart,RB,116.6
117,Denver Defense,DEF,117.4
118,Michael Bush,RB,117.5
119,Owen Daniels,TE,118.5
120,Kenbrell Thompkins,WR,118.6
121,Jordan Cameron,TE,119.2
122,Vincent Brown,WR,120.1
123,Isaiah Pead,RB,121.0
124,Chris Givens,WR,121.1
125,Emmanuel Sanders,WR,121.2
126,Cincinnati Defense,DEF,122.5
127,Michael Floyd,WR,124.7
128,Ben Roethlisberger,QB,125.0
129,LaMichael James,RB,127.1
130,Jay Cutler,QB,127.6
131,Joseph Randle,RB,128.9
132,Martellus Bennett,TE,130.4
133,Carson Palmer,QB,131.0
134,Aaron Dobson,WR,131.1
135,Knowshon Moreno,RB,131.6
136,New England Defense,DEF,131.9
137,Justin Blackmon,WR,133.2
138,Fred Davis,TE,133.3
139,Bilal Powell,RB,134.8
140,Shonn Greene,RB,136.1
141,Alshon Jeffery,WR,136.1
142,Sidney Rice,WR,136.1
143,Joe Flacco,QB,136.9
144,Marcel Reece,RB,137.1
145,Matt Schaub,QB,137.9
146,Isaac Redman,RB,138.0
147,Stephen Gostkowski,PK,138.8
148,Jonathan Dwyer,RB,140.0
149,Joique Bell,RB,140.2
150,Tyler Eifert,TE,141.7
151,Christine Michael,RB,144.0
152,Ryan Broyles,WR,144.0
153,Baltimore Defense,DEF,144.1
154,Zac Stacy,RB,144.3
155,Blair Walsh,PK,146.0
156,Zach Sudfeld,TE,146.2
157,Rueben Randle,WR,146.4
158,Sam Bradford,QB,146.9
159,Josh Freeman,QB,147.7
160,Roy Helu,RB,148.1
161,Kendall Hunter,RB,150.7
162,Tampa Bay Defense,DEF,151.2
163,Brandon Pettigrew,TE,151.4
164,Alex Smith,QB,152.0
165,St. Louis Defense,DEF,152.3
166,Cordarrelle Patterson,WR,152.3
167,Denarius Moore,WR,153.7
168,LeGarrette Blount,RB,154.2
169,Brian Hartline,WR,154.2
170,Philip Rivers,QB,154.4
171,Heath Miller,TE,154.9
172,Matt Bryant,PK,154.9
173,Darrius Heyward-Bey,WR,155.1
174,Denard Robinson,RB,155.2
175,Daniel Thomas,RB,155.2
176,Percy Harvin,WR,156.0
177,Coby Fleener,TE,156.6
178,Malcom Floyd,WR,156.6
179,Julian Edelman,WR,156.9
180,Matt Prater,PK,157.0
181,Arizona Defense,DEF,158.8
182,Pittsburgh Defense,DEF,160.3
183,Ryan Tannehill,QB,160.5
184,Sebastian Janikowski,PK,161.6
185,Green Bay Defense,DEF,162.7
186,EJ Manuel,QB,163.3
187,Dallas Defense,DEF,163.5
188,Greg Zuerlein,PK,163.6
189,Phil Dawson,PK,163.8
190,Cleveland Defense,DEF,164.9
191,Garrett Hartley,PK,168.5
192,Justin Tucker,PK,169.1
193,David Akers,PK,170.5
194,Dan Bailey,PK,171.3
195,Randy Bullock,PK,171.9
196,Kai Forbath,PK,172.4
197,Mason Crosby,PK,173.8
198,Robbie Gould,PK,174.9
