,PLAYER,POS,OVR
0,Saquon Barkley,RB,1.4
1,Christian McCaffrey,RB,2.6
2,Alvin Kamara,RB,3.5
3,DeAndre Hopkins,WR,4.0
4,Davante Adams,WR,5.9
5,David Johnson,RB,6.6
6,Le'Veon Bell,RB,7.6
7,Ezekiel Elliott,RB,8.0
8,James Conner,RB,8.5
9,Julio Jones,WR,9.1
10,Michael Thomas,WR,10.6
11,Nick Chubb,RB,11.6
12,JuJu Smith-Schuster,WR,12.7
13,Odell Beckham Jr.,WR,14.2
14,Tyreek Hill,WR,14.3
15,Dalvin Cook,RB,15.1
16,Todd Gurley,RB,16.4
17,Travis Kelce,TE,16.8
18,Joe Mixon,RB,18.7
19,Mike Evans,WR,20.0
20,Patrick Mahomes,QB,20.2
21,Damien Williams,RB,20.7
22,Antonio Brown,WR,21.8
23,Adam Thielen,WR,23.7
24,Leonard Fournette,RB,24.5
25,Keenan Allen,WR,25.7
26,Chris Carson,RB,26.0
27,Kerryon Johnson,RB,28.4
28,Devonta Freeman,RB,29.3
29,George Kittle,TE,30.0
30,Aaron Jones,RB,30.4
31,Josh Jacobs,RB,31.2
32,Stefon Diggs,WR,31.8
33,David Montgomery,RB,32.7
34,Amari Cooper,WR,34.0
35,Zach Ertz,TE,34.6
36,Julian Edelman,WR,36.3
37,Sony Michel,RB,37.3
38,Mark Ingram,RB,38.5
39,Brandin Cooks,WR,39.4
40,Chris Godwin,WR,39.8
41,Melvin Gordon,RB,40.5
42,Robert Woods,WR,42.0
43,Tyler Lockett,WR,42.9
44,Derrick Henry,RB,43.9
45,Cooper Kupp,WR,45.5
46,Marlon Mack,RB,46.2
47,Kenny Golladay,WR,46.7
48,T.Y. Hilton,WR,48.4
49,Deshaun Watson,QB,48.4
50,James White,RB,50.1
51,Duke Johnson,RB,50.8
52,Tyler Boyd,WR,51.9
53,O.J. Howard,TE,52.9
54,Calvin Ridley,WR,53.5
55,Phillip Lindsay,RB,55.9
56,Evan Engram,TE,56.2
57,Josh Gordon,WR,56.8
58,Miles Sanders,RB,57.9
59,Tevin Coleman,RB,57.9
60,Aaron Rodgers,QB,58.3
61,A.J. Green,WR,59.8
62,Mike Williams,WR,60.2
63,Jarvis Landry,WR,62.6
64,Hunter Henry,TE,63.3
65,Dede Westbrook,WR,64.1
66,Austin Ekeler,RB,64.5
67,Baker Mayfield,QB,65.8
68,D.J. Moore,WR,67.3
69,Matt Ryan,QB,68.5
70,Tarik Cohen,RB,70.7
71,Jared Cook,TE,70.7
72,Derrius Guice,RB,71.9
73,Alshon Jeffery,WR,72.3
74,Robby Anderson,WR,74.0
75,Carson Wentz,QB,74.7
76,Latavius Murray,RB,75.6
77,Drew Brees,QB,77.1
78,Vance McDonald,TE,77.1
79,Darwin Thompson,RB,77.5
80,Allen Robinson,WR,77.5
81,Will Fuller,WR,80.6
82,Kenyan Drake,RB,81.9
83,Emmanuel Sanders,WR,82.6
84,Tony Pollard,RB,82.7
85,Jared Goff,QB,84.1
86,David Njoku,TE,85.2
87,Matt Breida,RB,85.5
88,Curtis Samuel,WR,88.0
89,Christian Kirk,WR,88.4
90,Russell Wilson,QB,89.8
91,Sterling Shepard,WR,90.5
92,Darrell Henderson,RB,91.0
93,Rashaad Penny,RB,91.1
94,Chicago Defense,DEF,92.9
95,LeSean McCoy,RB,95.8
96,Sammy Watkins,WR,95.9
97,Cam Newton,QB,96.9
98,Geronimo Allison,WR,97.0
99,Kareem Hunt,RB,98.8
100,Marquez Valdes-Scantling,WR,99.5
101,Lamar Jackson,QB,100.1
102,Devin Singletary,RB,100.9
103,James Washington,WR,101.4
104,Austin Hooper,TE,102.5
105,Jordan Howard,RB,103.0
106,Marvin Jones,WR,103.2
107,Larry Fitzgerald,WR,104.0
108,Royce Freeman,RB,105.5
109,Jameis Winston,QB,106.9
110,LA Rams Defense,DEF,107.5
111,Kalen Ballage,RB,107.5
112,Kyler Murray,QB,108.5
113,Dante Pettis,WR,110.4
114,Corey Davis,WR,111.2
115,Ben Roethlisberger,QB,111.3
116,Jaylen Samuels,RB,112.9
117,Philip Rivers,QB,113.6
118,Jacksonville Defense,DEF,115.2
119,DeSean Jackson,WR,115.2
120,Michael Gallup,WR,115.4
121,Tom Brady,QB,115.7
122,Eric Ebron,TE,116.3
123,Donte Moncrief,WR,118.6
124,Delanie Walker,TE,119.3
125,Justin Jackson,RB,121.3
126,Alexander Mattison,RB,123.1
127,Justice Hill,RB,124.5
128,Courtland Sutton,WR,125.8
129,Baltimore Defense,DEF,126.2
130,Golden Tate,WR,127.2
131,Adrian Peterson,RB,128.3
132,T.J. Hockenson,TE,128.3
133,Cleveland Defense,DEF,128.3
134,Dak Prescott,QB,129.1
135,D.K. Metcalf,WR,129.3
136,Jamison Crowder,WR,130.6
137,Anthony Miller,WR,131.9
138,Tyrell Williams,WR,132.8
139,Peyton Barber,RB,133.1
140,Minnesota Defense,DEF,133.3
141,Kirk Cousins,QB,133.7
142,John Brown,WR,137.7
143,Mecole Hardman,WR,139.4
144,LA Chargers Defense,DEF,140.4
145,Dion Lewis,RB,140.4
146,Mitchell Trubisky,QB,141.2
147,Keke Coutee,WR,141.3
148,Mark Andrews,TE,142.7
149,Greg Zuerlein,PK,143.7
150,Dallas Defense,DEF,146.7
151,Damien Harris,RB,147.5
152,Greg Olsen,TE,147.6
153,Josh Allen,QB,147.9
154,Carlos Hyde,RB,148.4
155,Justin Tucker,PK,149.4
156,Ronald Jones,RB,150.9
157,Harrison Butker,PK,151.3
158,Denver Defense,DEF,151.6
159,N'Keal Harry,WR,151.8
160,Deebo Samuel,WR,152.3
161,Ito Smith,RB,153.6
162,Jimmy Garoppolo,QB,154.0
163,Wil Lutz,PK,155.0
164,Derek Carr,QB,155.5
165,Jordan Reed,TE,155.7
166,Mohamed Sanu,WR,155.9
167,Nyheim Hines,RB,156.2
168,Jimmy Graham,TE,156.6
169,Malcolm Brown,RB,157.1
170,Adam Humphries,WR,157.9
171,Cole Beasley,WR,157.9
172,Trey Burton,TE,158.2
173,Stephen Gostkowski,PK,158.3
174,Kyle Rudolph,TE,159.5
175,Dare Ogunbowale,RB,160.6
176,Tre'Quan Smith,WR,160.9
177,Houston Defense,DEF,161.2
178,Philadelphia Defense,DEF,161.7
179,Ka'imi Fairbairn,PK,162.0
180,Ty Montgomery,RB,162.0
181,Sam Darnold,QB,163.3
182,Marquise Goodwin,WR,163.6
183,Buffalo Defense,DEF,163.8
184,New England Defense,DEF,164.1
185,Matthew Stafford,QB,164.8
186,Demaryius Thomas,WR,165.3
187,Seattle Defense,DEF,166.8
188,Pittsburgh Defense,DEF,167.0
189,New Orleans Defense,DEF,167.3
