,PLAYER,POS,OVR
0,Adrian Peterson,RB,2.1
1,Le'Veon Bell,RB,3.1
2,Antonio Brown,WR,3.1
3,Jamaal Charles,RB,3.6
4,Eddie Lacy,RB,4.7
5,Julio Jones,WR,6.1
6,Dez Bryant,WR,7.6
7,Marshawn Lynch,RB,8.3
8,Demaryius Thomas,WR,9.1
9,Odell Beckham Jr.,WR,10.4
10,C.J. Anderson,RB,11.1
11,Calvin Johnson,WR,12.5
12,Rob Gronkowski,TE,13.3
13,Matt Forte,RB,13.8
14,Jeremy Hill,RB,14.8
15,A.J. Green,WR,16.4
16,Andrew Luck,QB,16.8
17,Randall Cobb,WR,16.9
18,DeMarco Murray,RB,17.5
19,Justin Forsett,RB,19.4
20,Brandin Cooks,WR,20.2
21,LeSean McCoy,RB,22.1
22,T.Y. Hilton,WR,23.0
23,Lamar Miller,RB,23.7
24,Alshon Jeffery,WR,24.7
25,Jordan Matthews,WR,25.0
26,Aaron Rodgers,QB,27.8
27,Frank Gore,RB,28.3
28,DeAndre Hopkins,WR,28.8
29,Mike Evans,WR,30.3
30,Mark Ingram,RB,31.3
31,Emmanuel Sanders,WR,32.4
32,Davante Adams,WR,33.6
33,Jimmy Graham,TE,33.8
34,Latavius Murray,RB,34.1
35,Jarvis Landry,WR,35.7
36,Doug Martin,RB,37.0
37,Andre Johnson,WR,38.2
38,Amari Cooper,WR,39.4
39,Jeremy Maclin,WR,39.6
40,Ameer Abdullah,RB,41.0
41,Golden Tate,WR,42.3
42,Andre Ellington,RB,42.6
43,Alfred Morris,RB,43.6
44,Arian Foster,RB,45.2
45,Julian Edelman,WR,45.8
46,Greg Olsen,TE,45.9
47,Joseph Randle,RB,46.4
48,Carlos Hyde,RB,48.2
49,Keenan Allen,WR,48.4
50,Brandon Marshall,WR,49.8
51,Chris Ivory,RB,49.9
52,Melvin Gordon,RB,51.5
53,Travis Kelce,TE,52.8
54,Jonathan Stewart,RB,53.7
55,Allen Robinson,WR,54.7
56,Peyton Manning,QB,55.3
57,Nelson Agholor,WR,56.8
58,C.J. Spiller,RB,57.1
59,Drew Brees,QB,57.5
60,Todd Gurley,RB,59.7
61,Charles Johnson,WR,61.2
62,Martellus Bennett,TE,62.0
63,Sammy Watkins,WR,62.5
64,Ben Roethlisberger,QB,62.6
65,T.J. Yeldon,RB,63.9
66,John Brown,WR,65.7
67,Russell Wilson,QB,67.2
68,Vincent Jackson,WR,68.0
69,Martavis Bryant,WR,68.9
70,LeGarrette Blount,RB,69.4
71,Danny Woodhead,RB,71.6
72,Giovani Bernard,RB,72.9
73,Steve Smith,WR,73.9
74,DeSean Jackson,WR,74.0
75,Shane Vereen,RB,75.1
76,Matt Ryan,QB,75.9
77,Ryan Mathews,RB,77.4
78,Jordan Cameron,TE,78.3
79,Joique Bell,RB,78.6
80,Tony Romo,QB,79.6
81,Victor Cruz,WR,79.7
82,Rashad Jennings,RB,81.4
83,Larry Fitzgerald,WR,82.5
84,Alfred Blue,RB,84.7
85,Eddie Royal,WR,84.9
86,Tom Brady,QB,85.8
87,Sam Bradford,QB,86.6
88,Darren McFadden,RB,86.7
89,Markus Wheaton,WR,88.3
90,Ryan Tannehill,QB,89.2
91,Owen Daniels,TE,90.9
92,Mike Wallace,WR,91.2
93,Jason Witten,TE,91.9
94,Kendall Wright,WR,93.3
95,Tevin Coleman,RB,93.4
96,Matthew Stafford,QB,94.4
97,Devin Funchess,WR,94.7
98,Bishop Sankey,RB,95.5
99,Tyler Eifert,TE,96.1
100,Anquan Boldin,WR,97.4
101,Tre Mason,RB,98.3
102,Devonta Freeman,RB,100.1
103,Roddy White,WR,101.0
104,Seattle Defense,DEF,102.2
105,Eli Manning,QB,102.6
106,Steve Johnson,WR,102.7
107,Eric Decker,WR,102.9
108,Delanie Walker,TE,105.0
109,Isaiah Crowell,RB,105.3
