,PLAYER,POS,OVR
0,David Johnson,RB,1.3
1,LeVeon Bell,RB,2.3
2,Antonio Brown,WR,3.1
3,Odell Beckham Jr.,WR,5.1
4,Mike Evans,WR,6.4
5,LeSean McCoy,RB,7.0
6,Julio Jones,WR,7.8
7,Melvin Gordon,RB,8.1
8,Devonta Freeman,RB,8.5
9,Ezekiel Elliott,RB,8.9
10,A.J. Green,WR,9.2
11,Jordy Nelson,WR,10.7
12,Michael Thomas,WR,13.2
13,Jay Ajayi,RB,13.6
14,DeMarco Murray,RB,15.3
15,Brandin Cooks,WR,16.3
16,Jordan Howard,RB,16.8
17,Rob Gronkowski,TE,18.6
18,Todd Gurley,RB,18.7
19,Dez Bryant,WR,19.6
20,Kareem Hunt,RB,20.1
21,Amari Cooper,WR,20.5
22,Doug Baldwin,WR,22.2
23,Christian McCaffrey,RB,23.6
24,Aaron Rodgers,QB,23.7
25,Keenan Allen,WR,25.3
26,Leonard Fournette,RB,26.7
27,Dalvin Cook,RB,27.8
28,Tom Brady,QB,28.7
29,Isaiah Crowell,RB,29.0
30,T.Y. Hilton,WR,29.3
31,Terrelle Pryor,WR,31.0
32,DeAndre Hopkins,WR,31.8
33,Ty Montgomery,RB,33.0
34,Demaryius Thomas,WR,33.1
35,Lamar Miller,RB,35.3
36,Marshawn Lynch,RB,35.6
37,Carlos Hyde,RB,36.6
38,Alshon Jeffery,WR,38.4
39,Kelvin Benjamin,WR,38.4
40,Travis Kelce,TE,39.0
41,Drew Brees,QB,42.0
42,Joe Mixon,RB,42.3
43,Michael Crabtree,WR,42.4
44,Davante Adams,WR,42.8
45,Martavis Bryant,WR,43.6
46,Tyreek Hill,WR,44.3
47,Golden Tate,WR,47.3
48,Doug Martin,RB,47.9
49,Bilal Powell,RB,48.2
50,Larry Fitzgerald,WR,48.2
51,C.J. Anderson,RB,51.1
52,Greg Olsen,TE,52.1
53,DeVante Parker,WR,52.6
54,Jordan Reed,TE,53.6
55,Stefon Diggs,WR,53.7
56,Ameer Abdullah,RB,53.7
57,Matt Ryan,QB,56.6
58,Allen Robinson,WR,56.6
59,Mark Ingram,RB,57.6
60,Jimmy Graham,TE,58.1
61,Danny Woodhead,RB,60.6
62,Jamison Crowder,WR,61.4
63,Russell Wilson,QB,63.4
64,Jarvis Landry,WR,63.6
65,Brandon Marshall,WR,64.8
66,Mike Gillislee,RB,64.9
67,Pierre Garcon,WR,66.9
68,Adrian Peterson,RB,68.5
69,Rob Kelley,RB,69.1
70,Tyler Eifert,TE,71.1
71,Darren McFadden,RB,71.4
72,Sammy Watkins,WR,72.6
73,Derek Carr,QB,73.8
74,Willie Snead,WR,73.8
75,Tevin Coleman,RB,73.9
76,Emmanuel Sanders,WR,74.2
77,Zach Ertz,TE,74.4
78,Derrick Henry,RB,76.8
79,Chris Hogan,WR,77.6
80,Marcus Mariota,QB,77.6
81,Delanie Walker,TE,79.8
82,Kyle Rudolph,TE,82.3
83,Theo Riddick,RB,82.8
84,Jameis Winston,QB,82.9
85,Jeremy Maclin,WR,82.9
86,Paul Perkins,RB,84.0
87,Frank Gore,RB,85.0
88,Terrance West,RB,87.2
89,Eric Decker,WR,88.2
90,Martellus Bennett,TE,88.2
91,LeGarrette Blount,RB,89.0
92,Kirk Cousins,QB,89.2
93,Cam Newton,QB,89.4
94,DeSean Jackson,WR,92.1
95,Randall Cobb,WR,93.2
96,Duke Johnson,RB,93.9
97,Tyrell Williams,WR,94.6
98,Thomas Rawls,RB,95.4
99,Corey Coleman,WR,96.8
100,Jacquizz Rodgers,RB,97.4
101,Adam Thielen,WR,99.0
102,Andrew Luck,QB,100.3
103,Ben Roethlisberger,QB,101.9
104,Jonathan Stewart,RB,102.8
105,James White,RB,103.2
106,Marvin Jones,WR,103.4
107,Donte Moncrief,WR,106.1
108,Denver Defense,DEF,107.2
109,Eddie Lacy,RB,107.8
110,Hunter Henry,TE,108.2
111,John Brown,WR,109.3
112,Philip Rivers,QB,109.5
113,Corey Davis,WR,111.2
114,Dak Prescott,QB,111.2
115,Rex Burkhead,RB,111.6
116,Jamaal Williams,RB,113.0
117,Seattle Defense,DEF,113.1
118,Rishard Matthews,WR,115.3
119,Darren Sproles,RB,116.4
120,Matthew Stafford,QB,116.6
121,Jordan Matthews,WR,116.7
122,Houston Defense,DEF,117.5
123,Cooper Kupp,WR,120.4
124,Zay Jones,WR,121.0
125,Kansas City Defense,DEF,122.1
126,Mike Wallace,WR,122.8
127,Ted Ginn Jr.,WR,123.1
128,Eric Ebron,TE,123.5
129,Samaje Perine,RB,124.4
130,Jamaal Charles,RB,126.6
131,New England Defense,DEF,126.9
132,Andy Dalton,QB,127.4
133,Kevin White,WR,128.6
134,C.J. Prosise,RB,129.3
135,Danny Amendola,WR,129.8
136,Kenny Britt,WR,130.5
137,Arizona Defense,DEF,131.5
138,Matt Forte,RB,131.8
139,Carson Wentz,QB,133.1
140,Jack Doyle,TE,133.1
141,Cole Beasley,WR,134.9
142,Jeremy Hill,RB,135.0
143,Eli Manning,QB,136.6
144,Minnesota Defense,DEF,137.4
145,NY Giants Defense,DEF,139.1
146,Robby Anderson,WR,140.2
147,Alvin Kamara,RB,140.4
148,Marlon Mack,RB,140.4
149,Justin Tucker,PK,143.6
150,Carson Palmer,QB,145.0
151,Wendell Smallwood,RB,145.5
152,Austin Hooper,TE,148.0
153,Christopher Carson,RB,148.1
154,Sterling Shepard,WR,148.3
155,Kenny Golladay,WR,149.0
156,Pittsburgh Defense,DEF,149.1
157,Stephen Gostkowski,PK,149.1
158,Coby Fleener,TE,150.4
159,Jason Witten,TE,151.5
160,DeAndre Washington,RB,151.8
161,Kendall Wright,WR,151.8
162,Taylor Gabriel,WR,152.2
163,Jonathan Williams,RB,153.6
164,Matt Bryant,PK,154.9
165,Tyler Lockett,WR,156.2
166,O.J. Howard,TE,156.7
167,Latavius Murray,RB,157.5
168,Dion Lewis,RB,158.0
169,Giovani Bernard,RB,158.1
170,Carolina Defense,DEF,158.9
171,Philadelphia Defense,DEF,160.0
172,Jay Cutler,QB,160.1
173,Mason Crosby,PK,161.9
174,Donta Foreman,RB,162.0
175,Wil Lutz,PK,162.9
176,Baltimore Defense,DEF,166.8
177,LA Rams Defense,DEF,167.2
178,Atlanta Defense,DEF,168.2
179,Brandon McManus,PK,168.9
180,Adam Vinatieri,PK,169.7
181,Matt Prater,PK,170.1
182,Cairo Santos,PK,171.8
