Rk,Player,Tm,Pos,Age,G,GS,Cmp,PassingAtt,PassingYds,PassingTD,Int,RushingAtt,RushingYds,Y/A,RushingTD,Tgt,Rec,ReceivingYds,Y/R,ReceivingTD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
277,Chris Manhertz,JAX,TE,29,6,6,0,0,0,0,0,0,0,,0,4,3,40,13.33,1,0,0,1,,,10,13,13,11.5,,49,
278,Albert Okwuegbunam,DEN,TE,23,4,1,0,0,0,0,0,0,0,,0,10,9,57,6.33,1,1,1,1,,,10,18.7,19.7,14.2,,51,
279,Kyle Rudolph,NYG,TE,32,6,4,0,0,0,0,0,0,0,,0,13,8,79,9.88,0,0,0,0,1,,10,17.9,17.9,13.9,,50,
280,Mohamed Sanu,SFO,WR,32,5,0,0,0,0,0,0,0,0,,0,16,10,97,9.7,0,0,0,0,,,10,19.7,19.7,14.7,,113,
281,Durham Smythe,MIA,TE,26,6,4,0,0,0,0,0,0,0,,0,14,10,97,9.7,0,0,0,0,,,10,19.7,19.7,14.7,,52,
282,Auden Tate,CIN,WR,24,6,0,0,0,0,0,0,0,0,,0,4,3,39,13,1,0,0,1,,,10,12.9,12.9,11.4,,112,
283,Jordan Akins,HOU,TE,29,6,1,0,0,0,0,0,1,3,3,0,18,12,111,9.25,0,1,1,0,,,9,21.4,25.4,15.4,,53,
284,Cameron Batson,TEN,WR,26,3,0,0,0,0,0,0,2,15,7.5,0,5,2,15,7.5,1,0,0,1,,,9,11,11,10,,118,
285,Le'Veon Bell,BAL,RB,29,2,0,0,0,0,0,0,12,29,2.42,1,1,0,0,,0,0,0,1,,,9,8.9,8.9,8.9,,79,
286,Noah Brown,DAL,WR,25,5,0,0,0,0,0,0,0,0,,0,7,6,92,15.33,0,0,0,0,,,9,15.2,15.2,12.2,,116,
287,Tevin Coleman,NYJ,RB,28,4,1,0,0,0,0,0,21,73,3.48,0,3,2,17,8.5,0,0,0,0,,,9,11,11,10,,78,
288,Jauan Jennings,SFO,WR,24,4,0,0,0,0,0,0,0,0,,0,3,3,31,10.33,1,0,0,1,,,9,12.1,12.1,10.6,,117,
289,Tony Jones,NOR,RB,24,4,1,0,0,0,0,0,19,77,4.05,0,6,4,10,2.5,0,0,0,0,,,9,12.7,12.7,10.7,,80,
290,Elijhaa Penny,NYG,RB,28,6,2,0,0,0,0,0,8,30,3.75,1,3,1,1,1,0,0,0,1,,,9,10.1,10.1,9.6,,77,
291,Anthony Schwartz,CLE,WR,21,6,0,0,0,0,0,0,2,14,7,0,12,5,80,16,0,0,0,0,,,9,14.4,14.4,11.9,,114,
292,Trent Sherfield,SFO,WR,25,5,0,0,0,0,0,0,0,0,,0,8,3,32,10.67,1,0,0,1,,,9,12.2,12.2,10.7,,115,
293,Mitchell Trubisky,BUF,QB,27,3,0,2,2,9,0,0,10,27,2.7,1,0,0,0,,0,0,0,1,,,9,9.1,9.1,9.1,,39,
294,Dyami Brown,WAS,WR,22,5,4,0,0,0,0,0,1,-4,-4,0,20,8,81,10.13,0,0,0,0,,,8,15.7,15.7,11.7,,123,
295,Nico Collins,HOU,WR,22,3,2,0,0,0,0,0,0,0,,0,10,6,83,13.83,0,0,0,0,,,8,14.3,14.3,11.3,,120,
296,Anthony Firkser,TEN,TE,26,3,1,0,0,0,0,0,0,0,,0,13,9,75,8.33,0,0,0,0,,,8,16.5,16.5,12,,56,
297,Mike Glennon,NYG,QB,32,1,0,16,25,196,1,2,2,2,1,0,0,0,0,,0,1,0,0,,,8,8,10,10,,40,
298,T.Y. Hilton,IND,WR,32,1,1,0,0,0,0,0,0,0,,0,4,4,80,20,0,0,0,0,,,8,12,12,10,,122,
299,Jacob Hollister,JAX,TE,28,4,2,0,0,0,0,0,0,0,,0,9,4,21,5.25,1,0,0,1,,,8,12.1,12.1,10.1,,54,
300,Alec Ingold,LVR,RB,25,6,2,0,0,0,0,0,1,0,0,0,7,5,23,4.6,1,0,0,1,,,8,13.3,13.3,10.8,,81,
301,Andy Janovich,CLE,RB,28,5,2,0,0,0,0,0,2,0,0,1,1,0,0,,0,0,0,1,1,,8,8,8,8,,82,
302,Marcedes Lewis,GNB,TE,37,6,6,0,0,0,0,0,0,0,,0,7,6,77,12.83,0,0,0,0,,,8,13.7,13.7,10.7,,55,
303,Anthony Miller,HOU,WR,27,2,1,0,0,0,0,0,0,0,,0,11,5,23,4.6,1,0,0,1,,,8,13.3,13.3,10.8,,119,
304,Tajae Sharpe,ATL,WR,27,5,1,0,0,0,0,0,0,0,,0,10,8,82,10.25,0,0,0,0,,,8,16.2,16.2,12.2,,121,
305,Antony Auclair,HOU,TE,28,6,5,0,0,0,0,0,0,0,,0,1,1,11,11,1,0,0,1,,,7,8.1,8.1,7.6,,58,
306,Harrison Bryant,CLE,TE,23,6,2,0,0,0,0,0,0,0,,0,10,6,69,11.5,0,0,0,0,,,7,12.9,12.9,9.9,,59,
307,Marquise Goodwin,CHI,WR,31,6,0,0,0,0,0,0,2,-1,-0.5,0,13,7,75,10.71,0,0,0,0,,,7,14.4,14.4,10.9,,125,
308,KJ Hamler,DEN,WR,22,3,2,0,0,0,0,0,0,0,,0,10,5,74,14.8,0,0,0,0,,,7,12.4,12.4,9.9,,124,
309,KhaDarel Hodge,DET,WR,26,5,1,0,0,0,0,0,0,0,,0,11,5,48,9.6,0,0,0,0,1,,7,11.8,11.8,9.3,,131,
310,Mack Hollins,MIA,WR,28,6,2,0,0,0,0,0,0,0,,0,7,5,71,14.2,0,0,0,0,,,7,12.1,12.1,9.6,,129,
