Rk,Player,Tm,Pos,Age,G,GS,Cmp,PassingAtt,PassingYds,PassingTD,Int,RushingAtt,RushingYds,Y/A,RushingTD,Tgt,Rec,ReceivingYds,Y/R,ReceivingTD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
414,Johnny Mundt,LAR,TE,27,6,0,0,0,0,0,0,0,0,,0,1,1,9,9,0,0,0,0,,,1,1.9,1.9,1.4,,79,
415,Jacques Patrick,SFO,RB,24,2,0,0,0,0,0,0,2,12,6,0,0,0,0,,0,0,0,0,,,1,1.2,1.2,1.2,,105,
416,Rashaad Penny,SEA,RB,25,1,0,0,0,0,0,0,2,8,4,0,0,0,0,,0,0,0,0,,,1,0.8,0.8,0.8,,110,
417,Jalen Richard,LVR,RB,28,2,0,0,0,0,0,0,1,0,0,0,2,2,7,3.5,0,0,0,0,,,1,2.7,2.7,1.7,,113,
418,Drew Sample,CIN,TE,25,6,3,0,0,0,0,0,0,0,,0,5,2,9,4.5,0,0,0,0,,,1,2.9,2.9,1.9,,80,
419,Boston Scott,PHI,RB,26,6,0,0,0,0,0,0,0,0,,0,2,2,5,2.5,0,0,0,0,,,1,2.5,2.5,1.5,,116,
420,Johnny Stanton,CLE,RB,27,1,0,0,0,0,0,0,0,0,,0,1,1,6,6,0,0,0,0,,,1,1.6,1.6,1.1,,115,
421,Malik Taylor,GNB,WR,26,5,0,0,0,0,0,0,0,0,,0,3,2,14,7,0,0,0,0,,,1,3.4,3.4,2.4,,170,
422,Jonathan Ward,ARI,RB,24,6,0,0,0,0,0,0,4,14,3.5,0,0,0,0,,0,0,0,0,,,1,1.4,1.4,1.4,,103,
423,Dwayne Washington,NOR,RB,27,5,0,0,0,0,0,0,1,5,5,0,1,1,6,6,0,0,0,0,,,1,2.1,2.1,1.6,,107,
424,Trayveon Williams,CIN,RB,24,1,0,0,0,0,0,0,6,13,2.17,0,0,0,0,,0,0,0,0,,,1,1.3,1.3,1.3,,104,
425,Tyrell Williams,DET,WR,29,1,1,0,0,0,0,0,0,0,,0,3,2,14,7,0,0,0,0,,,1,3.4,3.4,2.4,,171,
426,Josh Adams,NYJ,,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,124,
427,Geronimo Allison,DET,,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,207,
428,JJ Arcega-Whiteside,PHI,,25,6,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,192,
429,Tutu Atwell,LAR,,22,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,1,0,0,,,,,,,,210,
430,C.J. Beathard,JAX,,28,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,52,
431,Andrew Beck,DEN,,25,4,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,94,
432,Travis Benjamin,SFO,,32,1,0,0,0,0,0,0,0,0,,0,3,0,0,,0,0,0,0,,,,,,,,208,
433,Khari Blasingame,TEN,,25,4,2,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,133,
434,Mike Boone,DEN,RB,26,1,0,0,0,0,0,0,0,0,,0,1,1,3,3,0,0,0,0,,,,1.3,1.3,0.8,,120,
435,Matt Breida,BUF,RB,26,2,0,0,0,0,0,0,4,4,1,0,0,0,0,,0,0,0,0,,,,0.4,0.4,0.4,,118,
436,Daniel Brown,NYJ,,29,5,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,108,
437,John Brown,DEN,,31,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,212,
438,Jason Cabinda,DET,RB,25,6,0,0,0,0,0,0,0,0,,0,2,1,4,4,0,0,0,0,,,,1.4,1.4,0.9,,117,
439,Dan Chisena,MIN,,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,182,
440,Corey Clement,DAL,RB,27,6,0,0,0,0,0,0,3,0,0,0,0,0,0,,0,0,0,0,,,,,,,,134,
441,Tyrie Cleveland,DEN,,24,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,202,
442,Dominique Dafney,GNB,,24,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,114,
443,Chase Daniel,LAC,,35,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,53,
444,Darrell Daniels,ARI,,27,5,2,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,95,
445,Jaelon Darden,TAM,WR,22,1,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,0,,,,1,1,0.5,,196,
446,Connor Davis,CLE,,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,109,
447,Tyler Davis,GNB,,24,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,101,
448,Brandon Dillon,MIN,,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,93,
449,Phillip Dorsett,2TM,WR,28,3,0,0,0,0,0,0,0,0,,0,2,1,3,3,0,0,0,0,,,,1.3,1.3,0.8,,179,
450,Ben Ellefson,MIN,,25,4,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,97,
451,Simi Fehoko,DAL,,24,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,214,
452,Isaiah Ford,MIA,WR,25,2,0,0,0,0,0,0,0,0,,0,2,1,3,3,0,0,0,0,,,,1.3,1.3,0.8,,178,
453,Feleipe Franks,ATL,QB,24,2,0,0,0,0,0,0,1,3,3,0,0,0,0,,0,0,0,0,,,,0.3,0.3,0.3,,48,
454,Antonio Gandy-Golden,WAS,,23,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,209,
455,Cullen Gillaspia,NYG,,26,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,122,
456,C.J. Goodwin,DAL,,31,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,187,
457,Garrett Griffin,NOR,,27,5,2,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,102,
458,Justin Hardee,NYJ,,27,5,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,190,
459,Clark Harris,CIN,,37,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,115,
460,Demetrius Harris,ARI,,30,6,1,0,0,0,0,0,0,0,,0,3,0,0,,0,0,0,0,,,,,,,,106,
461,De'Michael Harris,IND,,23,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,180,
462,Jacob Harris,LAR,,24,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,110,
463,Dwayne Haskins,PIT,,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,54,
464,Parker Hesse,ATL,,26,2,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,96,
465,J.P. Holtz,CHI,,28,4,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,103,
466,Buddy Howell,LAR,,25,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,125,
467,Tanner Hudson,SFO,,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,116,
468,Andy Isabella,ARI,,25,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,203,
469,Jesse James,CHI,,27,5,3,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,98,
470,Kerryon Johnson,SFO,,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,131,
471,Taiwan Jones,BUF,,33,5,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,128,
472,Case Keenum,CLE,QB,33,2,0,1,3,6,0,0,3,0,0,0,0,0,0,,0,0,0,0,,,,0.2,0.2,0.2,,49,
473,Marcus Kemp,KAN,,26,6,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,206,
474,Jake Kumerow,BUF,,29,5,1,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,183,
475,Hunter Long,MIA,,23,3,1,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,104,
476,Jordan Love,GNB,QB,23,2,0,5,7,68,0,0,3,-3,-1,0,0,0,0,,0,1,1,0,,,,0.4,1.4,0.4,,47,
477,Tyler Mabry,SEA,,25,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,89,
478,Codey McElroy,TAM,,29,2,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,198,
479,Racey McMath,TEN,,22,4,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,199,
480,Jaydon Mickens,TAM,,27,5,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,184,
481,David Moore,DEN,,26,2,0,0,0,0,0,0,0,0,,0,2,0,0,,0,0,0,0,,,,,,,,185,
482,Stanley Morgan Jr.,CIN,,25,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,215,
483,Chris Myarick,NYG,,26,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,91,
484,Ryan Nall,CHI,,26,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,132,
485,Gunner Olszewski,NWE,,25,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,211,
486,Matthew Orzech,LAR,,26,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,1,0,0,,,,,,,,99,
487,Devine Ozigbo,NOR,,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,126,
488,Colby Parkinson,SEA,TE,22,3,0,0,0,0,0,0,0,0,,0,2,1,1,1,0,0,0,0,,,,1.1,1.1,0.6,,86,
489,Nathan Peterman,LVR,QB,27,1,0,0,0,0,0,0,2,2,1,0,0,0,0,,0,0,0,0,,,,0.2,0.2,0.2,,50,
490,Scottie Phillips,HOU,,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,130,
491,Artavis Pierce,CHI,,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,123,
492,Giovanni Ricci,CAR,,25,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,105,
493,Josh Rosen,ATL,QB,24,2,0,0,2,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,56,
494,Cooper Rush,DAL,,28,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,51,
495,Mekhi Sargent,TEN,RB,24,3,0,0,0,0,0,0,2,4,2,0,0,0,0,,0,0,0,0,,,,0.4,0.4,0.4,,119,
496,Ben Skowronek,LAR,,24,4,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,181,
497,Matthew Slater,NWE,,36,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,204,
498,Devin Smith,JAX,,29,4,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,193,
499,Ihmir Smith-Marsette,MIN,,22,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
