,PLAYER,POS,OVR
0,LeSean McCoy,RB,1.5
1,Adrian Peterson,RB,3.3
2,Matt Forte,RB,3.3
3,Jamaal Charles,RB,3.5
4,Demaryius Thomas,WR,6.0
5,Eddie Lacy,RB,6.2
6,Jimmy Graham,TE,7.6
7,Calvin Johnson,WR,8.3
8,Dez Bryant,WR,9.0
9,Peyton Manning,QB,10.2
10,Montee Ball,RB,10.5
11,A.J. Green,WR,11.0
12,Brandon Marshall,WR,13.2
13,Julio Jones,WR,13.5
14,DeMarco Murray,RB,13.7
15,Marshawn Lynch,RB,16.1
16,Jordy Nelson,WR,17.5
17,Giovani Bernard,RB,17.6
18,Antonio Brown,WR,18.4
19,Drew Brees,QB,19.2
20,Doug Martin,RB,20.0
21,Alshon Jeffery,WR,21.5
22,Aaron Rodgers,QB,22.0
23,Andre Ellington,RB,22.6
24,Randall Cobb,WR,24.3
25,Arian Foster,RB,26.0
26,Julius Thomas,TE,26.1
27,Shane Vereen,RB,28.2
28,Keenan Allen,WR,28.2
29,Rob Gronkowski,TE,28.7
30,Le'Veon Bell,RB,30.0
31,Zac Stacy,RB,32.3
32,Roddy White,WR,32.4
33,Reggie Bush,RB,33.2
34,Vincent Jackson,WR,34.7
35,Alfred Morris,RB,34.7
36,Andre Johnson,WR,36.2
37,Cordarrelle Patterson,WR,37.0
38,Rashad Jennings,RB,37.3
39,Emmanuel Sanders,WR,40.3
40,Pierre Garcon,WR,41.0
41,Larry Fitzgerald,WR,41.8
42,C.J. Spiller,RB,42.1
43,Toby Gerhart,RB,43.1
44,Victor Cruz,WR,44.3
45,Percy Harvin,WR,44.9
46,Joique Bell,RB,45.8
47,Michael Floyd,WR,46.5
48,Matthew Stafford,QB,47.2
49,Julian Edelman,WR,47.6
50,Michael Crabtree,WR,49.1
51,Jordan Cameron,TE,51.1
52,Ryan Mathews,RB,51.3
53,Ray Rice,RB,52.7
54,Andrew Luck,QB,52.8
55,Pierre Thomas,RB,54.6
56,T.Y. Hilton,WR,55.2
57,Torrey Smith,WR,56.1
58,Ben Tate,RB,56.6
59,Frank Gore,RB,57.1
