,PLAYER,POS,OVR
60,Tom Brady,QB,58.1
61,Chris Johnson,RB,59.4
62,Kendall Wright,WR,60.6
63,DeSean Jackson,WR,61.8
64,Jeremy Maclin,WR,63.5
65,Vernon Davis,TE,65.0
66,Marques Colston,WR,65.3
67,Bishop Sankey,RB,66.1
68,Jason Witten,TE,66.7
69,Matt Ryan,QB,67.3
70,Wes Welker,WR,69.0
71,Danny Woodhead,RB,70.7
72,Kyle Rudolph,TE,71.0
73,Maurice Jones-Drew,RB,72.5
74,Golden Tate,WR,72.7
75,Brandin Cooks,WR,73.1
76,Nick Foles,QB,74.3
77,Trent Richardson,RB,75.5
78,Darren Sproles,RB,76.9
79,Mike Wallace,WR,77.0
80,Fred Jackson,RB,79.4
81,Reggie Wayne,WR,80.5
82,Jay Cutler,QB,80.8
83,Jordan Reed,TE,81.0
84,Eric Decker,WR,82.1
85,Knowshon Moreno,RB,84.4
86,Kelvin Benjamin,WR,84.5
87,Tony Romo,QB,86.9
88,Steven Jackson,RB,87.1
89,Greg Olsen,TE,87.9
90,Terrance Williams,WR,87.9
91,Dennis Pitta,TE,89.8
92,Seattle Defense,DEF,90.0
93,Lamar Miller,RB,90.1
94,Carlos Hyde,RB,90.9
95,Jeremy Hill,RB,93.0
96,Bernard Pierce,RB,93.4
97,Cam Newton,QB,94.8
98,Justin Hunter,WR,95.3
99,Zach Ertz,TE,96.4
100,Stevan Ridley,RB,99.2
101,Mike Evans,WR,99.2
102,Philip Rivers,QB,100.3
103,Rueben Randle,WR,101.8
104,Riley Cooper,WR,102.0
105,Devonta Freeman,RB,102.8
106,Colin Kaepernick,QB,103.7
107,Mark Ingram,RB,103.8
108,Russell Wilson,QB,104.3
109,Sammy Watkins,WR,106.4
110,Dwayne Bowe,WR,107.1
111,Carolina Defense,DEF,107.9
112,DeAndre Hopkins,WR,109.6
113,Terrance West,RB,109.8
114,Robert Griffin III,QB,110.7
115,Andre Williams,RB,112.1
116,Anquan Boldin,WR,112.2
117,Danny Amendola,WR,114.9
118,San Francisco Defense,DEF,115.5
119,Hakeem Nicks,WR,117.3
120,DeAngelo Williams,RB,117.6
121,Martellus Bennett,TE,118.3
122,Markus Wheaton,WR,118.7
123,Andy Dalton,QB,119.2
124,Darren McFadden,RB,120.2
125,Steve Smith,WR,121.1
126,New England Defense,DEF,121.5
127,Jordan Matthews,WR,122.5
128,Cecil Shorts,WR,123.0
129,Ahmad Bradshaw,RB,124.1
130,Ben Roethlisberger,QB,125.7
131,Denver Defense,DEF,125.9
132,Jarrett Boykin,WR,126.8
133,Khiry Robinson,RB,128.9
134,Cincinnati Defense,DEF,129.2
135,Charles Clay,TE,130.3
136,Lance Dunbar,RB,130.6
137,Carson Palmer,QB,133.3
138,Kenny Britt,WR,133.8
139,Greg Jennings,WR,134.0
140,St. Louis Defense,DEF,134.7
141,Heath Miller,TE,134.9
142,Ladarius Green,TE,135.6
143,Brian Hartline,WR,135.7
144,LeGarrette Blount,RB,136.6
145,Shonn Greene,RB,137.0
146,Andrew Hawkins,WR,140.6
147,Jonathan Stewart,RB,142.8
148,Stephen Gostkowski,PK,144.8
149,Kenny Stills,WR,145.8
150,Marqise Lee,WR,146.4
151,Kansas City Defense,DEF,146.4
152,Travis Kelce,TE,147.1
153,Arizona Defense,DEF,147.5
154,Antonio Gates,TE,148.2
155,Tavon Austin,WR,149.2
156,Ryan Tannehill,QB,149.6
157,Knile Davis,RB,150.2
158,Cody Latimer,WR,150.6
159,Christine Michael,RB,150.9
160,Tim Wright,TE,151.3
161,Chris Ivory,RB,151.3
162,Aaron Dobson,WR,152.4
163,Ronnie Hillman,RB,152.9
164,Houston Defense,DEF,153.5
165,Josh McCown,QB,153.6
166,Alex Smith,QB,153.7
167,Benny Cunningham,RB,153.9
168,Steve Hauschka,PK,154.0
169,Dexter McCluster,RB,154.8
170,Joe Flacco,QB,157.5
171,Doug Baldwin,WR,158.0
172,James Jones,WR,158.2
173,New Orleans Defense,DEF,158.9
174,Mason Crosby,PK,160.3
175,Dan Bailey,PK,161.3
176,Miles Austin,WR,162.6
177,Tampa Bay Defense,DEF,163.6
178,Cleveland Defense,DEF,165.5
179,NY Jets Defense,DEF,167.9
180,Blair Walsh,PK,167.9
181,Phil Dawson,PK,170.7
182,Greg Zuerlein,PK,172.2
183,Robbie Gould,PK,173.6
184,Nick Novak,PK,174.4
