,PLAYER,POS,OVR
0,Adrian Peterson,RB,1.8
1,Ray Rice,RB,2.4
2,Chris Johnson,RB,3.0
3,Arian Foster,RB,4.6
4,Jamaal Charles,RB,5.2
5,LeSean McCoy,RB,5.9
6,Andre Johnson,WR,6.7
7,Michael Vick,QB,8.4
8,Roddy White,WR,9.1
9,Calvin Johnson,WR,10.0
10,Maurice Jones-Drew,RB,11.9
11,Rashard Mendenhall,RB,12.6
12,Larry Fitzgerald,WR,12.7
13,Darren McFadden,RB,12.8
14,Aaron Rodgers,QB,14.0
15,Hakeem Nicks,WR,16.8
16,Vincent Jackson,WR,17.4
17,Frank Gore,RB,18.0
18,Matt Forte,RB,18.0
19,Greg Jennings,WR,20.7
20,Steven Jackson,RB,21.6
21,Michael Turner,RB,22.3
22,Mike Wallace,WR,23.8
23,Tom Brady,QB,25.4
24,Peyton Hillis,RB,25.5
25,Miles Austin,WR,25.7
26,Felix Jones,RB,27.3
27,Reggie Wayne,WR,27.3
28,Philip Rivers,QB,29.0
29,DeSean Jackson,WR,30.7
30,LeGarrette Blount,RB,31.2
31,Brandon Marshall,WR,32.7
32,Ahmad Bradshaw,RB,33.2
33,Wes Welker,WR,33.2
34,Jahvid Best,RB,34.1
35,Drew Brees,QB,34.4
36,Dwayne Bowe,WR,36.8
37,Dez Bryant,WR,38.1
38,Antonio Gates,TE,38.9
39,Shonn Greene,RB,39.1
40,Mike Williams,WR,41.4
41,Jermichael Finley,TE,43.9
42,Brandon Lloyd,WR,45.1
43,DeAngelo Williams,RB,45.3
44,Knowshon Moreno,RB,45.8
45,Jason Witten,TE,46.9
46,Mark Ingram,RB,47.5
47,Steve Johnson,WR,47.7
48,Santonio Holmes,WR,49.3
49,Peyton Manning,QB,51.0
50,Ryan Mathews,RB,51.2
51,Dallas Clark,TE,51.4
52,Tony Romo,QB,53.1
53,Anquan Boldin,WR,53.1
54,Tim Hightower,RB,53.4
55,Marques Colston,WR,53.5
56,Mario Manningham,WR,55.8
57,Chris Wells,RB,57.8
58,Percy Harvin,WR,58.9
59,Chad Ochocinco,WR,60.8
60,Vernon Davis,TE,60.9
61,Jeremy Maclin,WR,62.1
62,Ryan Grant,RB,62.7
63,Reggie Bush,RB,64.8
