,PLAYER,POS,OVR
64,Owen Daniels,TE,66.2
65,Matt Schaub,QB,66.6
66,Jimmy Graham,TE,67.1
67,Kenny Britt,WR,67.7
68,Cedric Benson,RB,69.1
69,Fred Jackson,RB,69.2
70,Ben Roethlisberger,QB,70.5
71,Austin Collie,WR,70.5
72,Matt Ryan,QB,71.0
73,BenJarvus Green-Ellis,RB,73.2
74,Julio Jones,WR,73.2
75,Danny Amendola,WR,74.1
76,Joseph Addai,RB,75.1
77,Santana Moss,WR,76.1
78,Marshawn Lynch,RB,79.1
79,Matthew Stafford,QB,79.5
80,Mike Tolbert,RB,80.0
81,Plaxico Burress,WR,81.3
82,Daniel Thomas,RB,83.0
83,Mike Thomas,WR,84.7
84,Pittsburgh Defense,DEF,88.9
85,Mike Sims-Walker,WR,89.2
86,Tony Gonzalez,TE,89.5
87,Sidney Rice,WR,89.7
88,Brandon Jacobs,RB,89.9
89,Malcom Floyd,WR,91.8
90,James Starks,RB,92.1
91,Pierre Garcon,WR,93.0
92,Lance Moore,WR,93.1
93,Jonathan Stewart,RB,93.5
94,Josh Freeman,QB,94.7
95,Green Bay Defense,DEF,94.9
96,Kellen Winslow,TE,95.0
97,Pierre Thomas,RB,97.0
98,A.J. Green,WR,97.3
99,Steve Smith,WR,98.9
100,Sam Bradford,QB,99.0
101,C.J. Spiller,RB,100.4
102,Ben Tate,RB,100.8
103,Philadelphia Defense,DEF,103.1
104,Marcedes Lewis,TE,104.5
105,NY Jets Defense,DEF,105.3
106,Eli Manning,QB,106.8
107,Johnny Knox,WR,107.1
108,Michael Bush,RB,109.3
109,Nate Burleson,WR,109.4
110,Hines Ward,WR,109.6
111,Danny Woodhead,RB,109.9
112,Davone Bess,WR,110.1
113,Willis McGahee,RB,111.7
114,Lee Evans,WR,112.9
115,Baltimore Defense,DEF,113.1
116,Kevin Kolb,QB,113.3
117,New England Defense,DEF,113.8
118,Michael Crabtree,WR,115.3
119,Joe Flacco,QB,115.4
120,LaDainian Tomlinson,RB,116.5
121,Rob Gronkowski,TE,116.6
122,Braylon Edwards,WR,118.1
123,Brandon Pettigrew,TE,119.0
124,Donald Driver,WR,120.7
125,Antonio Brown,WR,121.5
126,Aaron Hernandez,TE,121.9
127,Roy Williams,WR,122.1
128,Jordy Nelson,WR,123.4
129,Jacoby Ford,WR,124.3
130,Jay Cutler,QB,128.1
131,Robert Meachem,WR,128.2
132,Greg Olsen,TE,132.4
133,Roy Helu,RB,132.4
134,Matt Cassel,QB,132.6
135,Ryan Torain,RB,132.7
136,Steve Breaston,WR,134.1
137,Darren Sproles,RB,134.6
138,Kyle Orton,QB,135.2
139,Greg Little,WR,137.0
140,New Orleans Defense,DEF,138.3
141,Ronnie Brown,RB,138.8
142,Rashad Jennings,RB,139.2
143,Brent Celek,TE,139.2
144,Javon Ringer,RB,139.4
145,Jerome Harrison,RB,139.8
146,Marion Barber,RB,139.8
147,Delone Carter,RB,139.9
148,Chicago Defense,DEF,140.3
149,Montario Hardesty,RB,141.7
150,Emmanuel Sanders,WR,141.8
151,Thomas Jones,RB,142.6
152,Donovan McNabb,QB,145.4
153,Mike Williams,WR,146.5
154,Earl Bennett,WR,146.9
155,Mark Sanchez,QB,147.4
156,Jared Cook,TE,148.3
157,Deion Branch,WR,149.2
158,Zach Miller,TE,150.1
159,Colt McCoy,QB,150.9
160,Deji Karim,RB,150.9
161,Steve Smith,WR,151.8
162,San Diego Defense,DEF,152.9
163,Detroit Defense,DEF,153.8
164,Lance Kendricks,TE,154.4
165,San Francisco Defense,DEF,155.2
166,NY Giants Defense,DEF,155.3
167,Cam Newton,QB,155.5
168,Andre Roberts,WR,155.8
169,Mark Clayton,WR,156.0
170,DeMarco Murray,RB,156.5
171,Ryan Fitzpatrick,QB,156.9
172,Visanthe Shiancoe,TE,157.0
173,Nate Kaeding,PK,157.4
174,Ricky Williams,RB,158.7
175,Chris Cooley,TE,159.0
176,Devin Hester,WR,159.3
177,Tashard Choice,RB,159.8
178,Dustin Keller,TE,160.0
179,Dexter McCluster,WR,160.5
180,Sebastian Janikowski,PK,161.3
181,Dallas Defense,DEF,161.4
182,James Jones,WR,162.3
183,Derrick Mason,WR,162.8
184,Mason Crosby,PK,163.6
185,Bernard Berrian,WR,164.4
186,Atlanta Defense,DEF,166.4
187,Stephen Gostkowski,PK,166.7
188,Alex Henery,PK,168.1
189,Matt Bryant,PK,169.0
190,Neil Rackers,PK,170.0
191,Josh Brown,PK,172.9
