,PLAYER,POS,OVR
0,Christian McCaffrey,RB,1.3
1,Saquon Barkley,RB,2.4
2,Ezekiel Elliott,RB,3.3
3,Clyde Edwards-Helaire,RB,5.7
4,Dalvin Cook,RB,5.7
5,Alvin Kamara,RB,6.1
6,Michael Thomas,WR,6.5
7,Derrick Henry,RB,6.5
8,Josh Jacobs,RB,9.4
9,Joe Mixon,RB,9.9
10,Davante Adams,WR,11.3
11,Austin Ekeler,RB,12.1
12,Kenyan Drake,RB,13.3
13,Miles Sanders,RB,13.9
14,Julio Jones,WR,14.8
15,Nick Chubb,RB,15.3
16,Tyreek Hill,WR,16.9
17,Aaron Jones,RB,17.0
18,Patrick Mahomes,QB,18.1
19,Travis Kelce,TE,19.0
20,DeAndre Hopkins,WR,19.6
21,James Conner,RB,21.2
22,Lamar Jackson,QB,22.2
23,Chris Godwin,WR,22.3
24,Chris Carson,RB,23.6
25,George Kittle,TE,25.3
26,Kenny Golladay,WR,26.4
27,Mike Evans,WR,28.3
28,David Johnson,RB,28.5
29,Todd Gurley,RB,29.3
30,Jonathan Taylor,RB,29.6
31,Adam Thielen,WR,30.6
32,D.J. Moore,WR,32.5
33,Allen Robinson,WR,33.4
34,Odell Beckham Jr.,WR,34.3
35,Le'Veon Bell,RB,35.2
36,JuJu Smith-Schuster,WR,36.6
37,Melvin Gordon,RB,37.3
38,Calvin Ridley,WR,39.2
39,Amari Cooper,WR,39.2
40,Cooper Kupp,WR,40.2
41,Robert Woods,WR,41.5
42,Mark Ingram,RB,41.6
43,Mark Andrews,TE,42.2
44,A.J. Brown,WR,42.4
45,Raheem Mostert,RB,43.0
46,Cam Akers,RB,43.4
47,DK Metcalf,WR,45.6
48,D.J. Chark,WR,48.2
49,Tyler Lockett,WR,50.0
50,Terry McLaurin,WR,50.1
51,Dak Prescott,QB,50.3
52,Zach Ertz,TE,50.7
53,Kareem Hunt,RB,51.4
54,Devin Singletary,RB,52.8
55,Keenan Allen,WR,52.9
56,Courtland Sutton,WR,56.3
57,David Montgomery,RB,57.5
58,Marquise Brown,WR,57.7
59,T.Y. Hilton,WR,57.7
60,Russell Wilson,QB,58.6
61,Darren Waller,TE,58.8
62,D'Andre Swift,RB,59.2
63,Kyler Murray,QB,61.1
64,J.K. Dobbins,RB,61.1
65,Antonio Gibson,RB,61.7
66,Stefon Diggs,WR,65.4
67,Deshaun Watson,QB,65.5
68,DeVante Parker,WR,67.3
69,Will Fuller,WR,69.9
70,Rob Gronkowski,TE,70.0
71,Zack Moss,RB,70.9
72,Michael Gallup,WR,71.0
73,James White,RB,71.6
74,Tyler Boyd,WR,73.3
75,A.J. Green,WR,73.6
76,Leonard Fournette,RB,73.8
77,Evan Engram,TE,76.1
78,Drew Brees,QB,76.4
79,Marlon Mack,RB,77.3
80,Ronald Jones,RB,77.6
81,Hayden Hurst,TE,77.8
82,Julian Edelman,WR,81.2
83,Brandin Cooks,WR,82.9
84,Matt Ryan,QB,83.1
85,Jordan Howard,RB,83.2
86,Tarik Cohen,RB,84.9
87,Phillip Lindsay,RB,85.9
88,Tom Brady,QB,86.8
89,Jarvis Landry,WR,87.0
90,Deebo Samuel,WR,87.7
91,Tyler Higbee,TE,88.9
92,CeeDee Lamb,WR,89.2
93,Latavius Murray,RB,90.4
94,Kerryon Johnson,RB,93.6
95,Diontae Johnson,WR,94.0
96,Hunter Henry,TE,94.1
97,Matt Breida,RB,94.3
98,Aaron Rodgers,QB,96.2
99,Alexander Mattison,RB,97.0
100,Marvin Jones,WR,97.5
101,Josh Allen,QB,97.9
102,Henry Ruggs III,WR,101.1
103,Chase Edmonds,RB,101.5
104,Emmanuel Sanders,WR,102.4
105,Jamison Crowder,WR,103.2
106,Damien Harris,RB,103.3
107,San Francisco Defense,DEF,103.3
108,Tevin Coleman,RB,105.1
109,Matthew Stafford,QB,105.2
110,Sony Michel,RB,108.4
111,Jerry Jeudy,WR,108.4
112,Mecole Hardman,WR,109.6
113,Carson Wentz,QB,110.9
114,Sterling Shepard,WR,111.4
115,Boston Scott,RB,112.0
116,Jared Cook,TE,113.5
117,Ryquell Armstead,RB,113.9
118,Pittsburgh Defense,DEF,114.0
119,Noah Fant,TE,115.6
120,Chris Thompson,RB,115.7
121,Cam Newton,QB,116.4
122,Christian Kirk,WR,116.7
123,Darius Slayton,WR,118.5
124,Tony Pollard,RB,119.8
125,AJ Dillon,RB,120.5
126,DeSean Jackson,WR,121.4
127,Baltimore Defense,DEF,121.9
128,Preston Williams,WR,124.0
129,Buffalo Defense,DEF,125.3
130,Justin Jefferson,WR,126.0
131,Daniel Jones,QB,126.8
132,Darrell Henderson,RB,127.0
133,Anthony Miller,WR,127.8
134,Ben Roethlisberger,QB,128.1
135,Duke Johnson,RB,128.9
136,Joe Burrow,QB,130.0
137,Allen Lazard,WR,132.7
138,Bryce Love,RB,134.0
139,Chicago Defense,DEF,134.1
140,Jalen Reagor,WR,135.0
141,Austin Hooper,TE,135.1
142,New England Defense,DEF,137.3
143,Sammy Watkins,WR,137.7
144,Brandon Aiyuk,WR,137.9
145,Jared Goff,QB,139.1
146,T.J. Hockenson,TE,140.0
147,Nyheim Hines,RB,140.5
148,Minnesota Defense,DEF,143.5
149,Justin Tucker,PK,144.1
150,Darrel Williams,RB,144.4
151,Golden Tate,WR,145.3
152,Harrison Butker,PK,146.5
153,John Brown,WR,146.9
154,Mike Gesicki,TE,147.3
155,Baker Mayfield,QB,152.4
156,Michael Pittman Jr.,WR,152.5
157,Jonnu Smith,TE,152.7
158,Chris Herndon,TE,152.7
159,Blake Jarwin,TE,153.6
160,Jerick McKinnon,RB,153.9
161,Los Angeles Chargers Defense,DEF,154.0
162,Justin Jackson,RB,154.0
163,N'Keal Harry,WR,154.6
164,Devine Ozigbo,RB,155.2
165,Parris Campbell,WR,155.5
166,Carlos Hyde,RB,156.3
167,Wil Lutz,PK,156.5
168,Joshua Kelley,RB,156.6
169,Benny Snell,RB,157.1
170,Philip Rivers,QB,157.9
171,Jimmy Garoppolo,QB,157.9
172,Drew Lock,QB,158.3
173,Damien Williams,RB,158.5
174,Bryan Edwards,WR,159.0
175,Greg Zuerlein,PK,159.0
176,Ryan Tannehill,QB,160.1
177,Mike Williams,WR,160.6
178,Gardner Minshew,QB,160.9
179,New Orleans Defense,DEF,160.9
180,Jack Doyle,TE,161.9
181,Seattle Defense,DEF,162.0
182,Tampa Bay Defense,DEF,162.0
183,Larry Fitzgerald,WR,162.1
184,Robby Anderson,WR,163.1
185,Robbie Gould,PK,164.6
186,Younghoe Koo,PK,165.2
187,Breshad Perriman,WR,165.8
188,Kansas City Defense,DEF,167.6
189,Zane Gonzalez,PK,168.0
190,Indianapolis Defense,DEF,169.0
191,Philadelphia Defense,DEF,169.1
192,Matt Prater,PK,169.2
193,Los Angeles Rams Defense,DEF,169.2
194,Dan Bailey,PK,169.7
195,Ka'imi Fairbairn,PK,170.6
196,Jake Elliott,PK,172.3
197,Ryan Succop,PK,173.3
198,Chris Boswell,PK,173.4
